Configuration	Term	g	Level (eV)
2p5.3s.(3P*).11s	2P*,4P*	6	37.9264
2p5.3s.(3P*).8d	4F*	4	37.9346
2p5.3s.(3P*).12s	2P*,4P*	6	37.9535
2p5.3s.(3P*).10s	4P*	2	37.96
2p5.3s.(3P*).13s	2P*,4P*	6	37.9725
2p5.3s.(3P*).9d	4F*	4	37.9796
2p5.3s.(1P*).7s	2P*	6	37.9941
2p5.3s.(3P*).11s	4P*	2	38.0041
2p5.3s.(3P*).12s	4P*	2	38.0274
2p5.3s.(1P*).6d	2P*	6	38.0506
2p5.3s.(3P*).14s	4P*	2	38.067
2p5.3s.(3P*).15s	4P*	2	38.077
2p5.3s.(3P*).16s	4P*	2	38.0884
2p5.3s.(3P*).17s	4P*	2	38.0963
2p5.3s.(3P*).18s	4P*	2	38.1018
2p5.3s.(3P*).19s	4P*	2	38.1068
2p5.3s.(3P*).20s	4P*	2	38.1131
2p5.3s.(1P*).8s	2P*	6	38.1281
2p5.3s.(1P*).7d	2P*	6	38.1626
2p5.3s.(1P*).9s	2P*	6	38.2113
2p5.3s.(1P*).8d	2P*	6	38.234
2p5.3s.(1P*).10s	2P*	6	38.2666
2p5.3s.(1P*).9d	2P*	6	38.283
2p5.3s.(1P*).11s	2P*	6	38.3047
2p5.3s.(1P*).10d	2P*	6	38.3166
2p5.3s.(1P*).12s	2P*	6	38.3326
2p5.3s.(1P*).11d	2P*	6	38.3417
2p5.3s.(1P*).13s	2P*	6	38.354
2p5.3s.(1P*).12d	2P*	6	38.3611
2p5.3s.(1P*).14s	2P*	6	38.3698
2p5.3s.(1P*).13d	2P*	6	38.3761
2p5.3s.(1P*).15s	2P*	6	38.384
2p5.3s.(1P*).14d	2P*	6	38.3871
2p5.3s.(1P*).15d	2P*	6	38.397
2p5.3s.(1P*).16d	2P*	6	38.4042
2p5.3s.(1P*).17d	2P*	6	38.4102
2p5.3s.(1P*).18d	2P*	6	38.4149
2p5.3s.(1P*).19d	2P*	6	38.4208
2p5.3s.(1P*).20d	2P*	6	38.4244
2p5.(2P*).3p2.(1S)	2P*	4	38.55673
2p5.(2P*).3p2.(1S)	2P*	2	38.7272
2p5.3p.(3P<1>).4p.(I)		6	40.15
2p5.3p.(3S<1>).4p	2[1]*	6	40.523
2p5.3p.(3S<1>).5p	2[1]*	6	40.898
2p5.3p.(3S<1>).6p	2[1]*	6	41.0858
2p5.3p.(3S<1>).7p	2[1]*	6	41.199
2p5.3p.(3P<1>).5p.(I)		6	41.225
2p5.3p.(3S<1>).8p	2[1]*	6	41.2698
